year,scheduled,mini.pia,tax.ssb,cap.spouse,survivorjs75,tax.max.90,tax.max.90.FICA.134,fica.134,cola.chain.cpi,reduce.cola,increase.fra,increase.fra.era,taxmax150000,taxmax180000,no.tax.max
2005,353.329,,,,,,,,,,,,,,
2006,353.329,,,,,,,,,,,,,,
2007,353.329,,,,,,,,,,,,,,
2008,353.329,,,,,,,,,,,,,,
2009,353.329,,,,,,,,,,,,,,
2010,353.329,,,,,,,,,,,,,,
2011,353.329,,,,,,,,,,,,,,
2012,339.53,,,,,,,,,,,,,,
2013,330.472,,,,,,,,,,,,,,
2014,320.296,,,,,,,,,,,,,,
2015,315.3114313,,,,,,,,,,,,,,
2016,293.0811214,,,,,,,,,,,,,,
2017,281.0533671,,,,,,,,,,,,,,
2018,268.344036,,,,,,,,,,,,,,
2019,255.2280065,,,,,,,,,,,,,,
2020,241.8321847,,,,,,,,,,,,,,
2021,227.9976957,,,,,,,,,,,,,,
2022,213.6797914,,,,,,,,,,,,,,
2023,198.7354555,,,,,,,,,,,,,,
2024,183.3509277,,,,,,,,,,,,,,
2025,166.155785,,,,,,,,,,,,,,
2026,148.8081767,,,,,,,,,,,,,,
2027,131.9200252,,,,,,,,,,,,,,
2028,114.632541,,,,,,,,,,,,,,
2029,97.30913028,,,,,,,,,,,,,,
2030,79.70222649,,,,,,,,,,,,,,
2031,61.25376501,,,,,,,,,,,,,,
2032,42.34989278,,,,,,,,,,,,,,
2033,23.10073217,,,,,,,,,,,,,,
2034,2.39228492,,,,,,,,,,,,,,
2035,-19.15256469,,,,,,,,,,,,,,
2036,-41.22806091,,,,,,,,,,,,,,
2037,-63.12067532,,,,,,,,,,,,,,
2038,-85.66782046,,,,,,,,,,,,,,
2039,-108.8151108,,,,,,,,,,,,,,
2040,-131.7653235,,,,,,,,,,,,,,
2041,-155.7608916,,,,,,,,,,,,,,
2042,-178.943792,,,,,,,,,,,,,,
2043,-202.7836191,,,,,,,,,,,,,,
2044,-226.1641043,,,,,,,,,,,,,,
2045,-251.2120838,,,,,,,,,,,,,,
2046,-275.7297565,,,,,,,,,,,,,,
2047,-300.850093,,,,,,,,,,,,,,
2048,-325.2474471,,,,,,,,,,,,,,
2049,-348.5902796,,,,,,,,,,,,,,
2050,-372.7037981,,,,,,,,,,,,,,
2051,-397.582,,,,,,,,,,,,,,
2052,-423.01584,,,,,,,,,,,,,,
2053,-449.5683941,,,,,,,,,,,,,,
2054,-475.3961161,,,,,,,,,,,,,,
2055,-500.6078804,,,,,,,,,,,,,,
2056,-527.5114087,,,,,,,,,,,,,,
2057,-552.7621784,,,,,,,,,,,,,,
2058,-579.1559753,,,,,,,,,,,,,,
2059,-605.4656093,,,,,,,,,,,,,,
2060,-634.0785721,,,,,,,,,,,,,,
2061,-660.4761541,,,,,,,,,,,,,,
2062,-689.5756824,,,,,,,,,,,,,,
2063,-718.7757121,,,,,,,,,,,,,,
2064,-749.624022,,,,,,,,,,,,,,
2065,-782.2009262,,,,,,,,,,,,,,
2066,-812.1054198,,,,,,,,,,,,,,
2067,-841.9671175,,,,,,,,,,,,,,
2068,-874.0410318,,,,,,,,,,,,,,
2069,-907.8283128,,,,,,,,,,,,,,
2070,-938.697282,,,,,,,,,,,,,,
2071,-972.6289339,,,,,,,,,,,,,,
2072,-1005.85656,,,,,,,,,,,,,,
2073,-1039.798559,,,,,,,,,,,,,,
2074,-1076.761318,,,,,,,,,,,,,,
2075,-1114.972664,,,,,,,,,,,,,,
2076,-1154.528596,,,,,,,,,,,,,,
2077,-1191.548161,,,,,,,,,,,,,,
2078,-1233.785819,,,,,,,,,,,,,,
2079,-1274.517545,,,,,,,,,,,,,,
2080,-1313.09076,,,,,,,,,,,,,,
2081,-1350.099146,,,,,,,,,,,,,,
2082,-1391.929991,,,,,,,,,,,,,,
2083,-1433.296422,,,,,,,,,,,,,,
2084,-1476.573099,,,,,,,,,,,,,,
2085,-1516.707506,,,,,,,,,,,,,,
2086,-1551.733356,,,,,,,,,,,,,,
2087,-1565.769858,,,,,,,,,,,,,,
